name,price_usd,price_inr,positive_reviews,negative_reviews,user_rating_pct,jes,category,joy_per_1000_inr,rank_in_category
Gravitas,0.0,0.0,6738,137,98.00727272727272,98.00727272727272,Indie/AA,98007.27272727272,1.0
Virtual Cottage,0.0,0.0,10173,229,97.79850028840607,97.79850028840607,Indie/AA,97798.50028840608,2.0
异化之恶〇Abnormal Treatment,0.0,0.0,3414,88,97.48715019988578,97.48715019988578,Indie/AA,97487.15019988576,3.0
Touhou Hero of Ice Fairy: Prologue,0.0,0.0,3222,85,97.4296945872392,97.4296945872392,Indie/AA,97429.6945872392,4.0
Samsara Room,0.0,0.0,8956,246,97.32666811562704,97.32666811562704,Indie/AA,97326.66811562704,5.0
The Expendabros,0.0,0.0,17661,513,97.17728623308022,97.17728623308022,Indie/AA,97177.28623308025,6.0
Mark of the Ninja,0.0,0.0,15360,476,96.99419045213438,96.99419045213438,Indie/AA,96994.19045213438,7.0
Doki Doki Literature Club!,0.0,0.0,203247,7470,96.45496091914748,96.45496091914748,Indie/AA,96454.96091914747,8.0
Meteor 60 Seconds!,0.0,0.0,4523,167,96.43923240938166,96.43923240938166,Indie/AA,96439.23240938166,9.0
Cinderella Phenomenon - Otome/Visual Novel,0.0,0.0,3898,149,96.31826043983196,96.31826043983196,Indie/AA,96318.26043983197,10.0
Blender,0.0,0.0,70186,2695,96.30219124325956,96.30219124325956,Indie/AA,96302.19124325956,11.0
We Become What We Behold [Fan-Made Port],0.0,0.0,5659,223,96.20877252635158,96.20877252635158,Indie/AA,96208.77252635156,12.0
Life is Strange - Episode 1,0.0,0.0,162769,6432,96.19860402716296,96.19860402716296,Indie/AA,96198.60402716296,13.0
Pixel Studio - pixel art editor,0.0,0.0,4581,194,95.93717277486913,95.93717277486913,Indie/AA,95937.17277486912,14.0
NGU IDLE,0.0,0.0,11564,504,95.82366589327144,95.82366589327144,Indie/AA,95823.66589327143,15.0
Narcissu 1st & 2nd,0.0,0.0,4675,206,95.77955337021102,95.77955337021102,Indie/AA,95779.55337021104,16.0
Half-Life 2: Episode One,0.0,0.0,30478,1344,95.77650681918168,95.77650681918168,Indie/AA,95776.50681918168,17.0
"Warhammer® 40,000: Dawn of War® - Soulstorm",0.0,0.0,16764,847,95.1905059337914,95.1905059337914,Indie/AA,95190.5059337914,18.0
Alien Swarm: Reactive Drop,0.0,0.0,21500,1149,94.92692834120712,94.92692834120712,Indie/AA,94926.92834120712,19.0
Unsung Warriors - Prologue,0.0,0.0,1347,72,94.9260042283298,94.9260042283298,Indie/AA,94926.0042283298,20.0
System Shock® 2 (1999),0.0,0.0,7194,417,94.52108789909342,94.52108789909342,Indie/AA,94521.0878990934,21.0
Transmissions: Element 120,0.0,0.0,9266,539,94.50280469148392,94.50280469148392,Indie/AA,94502.80469148392,22.0
Sleeping Dogs,0.0,0.0,16134,950,94.43924139545774,94.43924139545774,Indie/AA,94439.24139545774,23.0
Soda Dungeon 2,0.0,0.0,5114,305,94.37165528695331,94.37165528695331,Indie/AA,94371.65528695332,24.0
Picross Touch,0.0,0.0,1595,96,94.32288586635129,94.32288586635129,Indie/AA,94322.88586635128,25.0
Yume Nikki,0.0,0.0,8120,509,94.101286359949,94.101286359949,Indie/AA,94101.286359949,26.0
Tilt Brush,0.0,0.0,1117,71,94.02356902356902,94.02356902356902,Indie/AA,94023.56902356904,27.0
Freddy Fazbear's Pizzeria Simulator,0.0,0.0,28374,1835,93.9256512959714,93.9256512959714,Indie/AA,93925.6512959714,28.0
My Singing Monsters,0.0,0.0,39143,2558,93.86585453586244,93.86585453586244,Indie/AA,93865.85453586244,29.0
Friday the 13th: Killer Puzzle,0.0,0.0,5644,374,93.78531073446328,93.78531073446328,Indie/AA,93785.31073446327,30.0
Zero-K,0.0,0.0,3678,244,93.77868434472208,93.77868434472208,Indie/AA,93778.68434472207,31.0
Cheeky Chooks,0.0,0.0,2503,167,93.74531835205993,93.74531835205993,Indie/AA,93745.31835205993,32.0
Aimtastic,0.0,0.0,2486,166,93.74057315233786,93.74057315233786,Indie/AA,93740.57315233786,33.0
Marie's Room,0.0,0.0,6058,405,93.73356026613028,93.73356026613028,Indie/AA,93733.56026613028,34.0
